Station: 212 | Date: 2015-08-16 | Daily DSV: 0 | Cumulative DSV: 60
Station: 212 | Date: 2015-08-17 | Daily DSV: 1 | Cumulative DSV: 61
Station: 212 | Date: 2015-08-18 | Daily DSV: 0 | Cumulative DSV: 61
Station: 212 | Date: 2015-08-19 | Daily DSV: 0 | Cumulative DSV: 61
Station: 212 | Date: 2015-08-20 | Daily DSV: 0 | Cumulative DSV: 61
Station: 212 | Date: 2015-08-21 | Daily DSV: 1 | Cumulative DSV: 62
Station: 212 | Date: 2015-08-22 | Daily DSV: 3 | Cumulative DSV: 65
Station: 212 | Date: 2015-08-23 | Daily DSV: 1 | Cumulative DSV: 66
Station: 212 | Date: 2015-08-24 | Daily DSV: 0 | Cumulative DSV: 66
Station: 212 | Date: 2015-08-25 | Daily DSV: 0 | Cumulative DSV: 66
Station: 212 | Date: 2015-08-26 | Daily DSV: 0 | Cumulative DSV: 66
Station: 212 | Date: 2015-08-27 | Daily DSV: 1 | Cumulative DSV: 67
Station: 212 | Date: 2015-08-28 | Daily DSV: 1 | Cumulative DSV: 68
Station: 212 | Date: 2015-08-29 | Daily DSV: 1 | Cumulative DSV: 69
Station: 212 | Date: 2015-08-30 | Daily DSV: 1 | Cumulative DSV: 70
Station: 212 | Date: 2015-08-31 | Daily DSV: 1 | Cumulative DSV: 71
Station: 212 | Date: 2015-09-01 | Daily DSV: 0 | Cumulative DSV: 71
Station: 212 | Date: 2015-09-02 | Daily DSV: 1 | Cumulative DSV: 72
Station: 212 | Date: 2015-09-03 | Daily DSV: 3 | Cumulative DSV: 75
Station: 212 | Date: 2015-09-04 | Daily DSV: 2 | Cumulative DSV: 77
Station: 212 | Date: 2015-09-05 | Daily DSV: 3 | Cumulative DSV: 80
Station: 212 | Date: 2015-09-06 | Daily DSV: 1 | Cumulative DSV: 81
Station: 212 | Date: 2015-09-07 | Daily DSV: 0 | Cumulative DSV: 81
Station: 212 | Date: 2015-09-08 | Daily DSV: 0 | Cumulative DSV: 81
Station: 212 | Date: 2015-09-09 | Daily DSV: 0 | Cumulative DSV: 81
Station: 212 | Date: 2015-09-10 | Daily DSV: 0 | Cumulative DSV: 81
Station: 212 | Date: 2015-09-11 | Daily DSV: 0 | Cumulative DSV: 81
Station: 212 | Date: 2015-09-12 | Daily DSV: 0 | Cumulative DSV: 81
Station: 212 | Date: 2015-09-13 | Daily DSV: 0 | Cumulative DSV: 81
Station: 212 | Date: 2015-09-14 | Daily DSV: 0 | Cumulative DSV: 81
