StationID,StationName,Date,Tmax,Tmin,Precip
CYQD,THE PAS,2019-06-19,25.3,10.1,0.0
CWEQ,SWAN RIVER,2019-06-19,27.2,5.1,0.0
CWXB,ROBLIN MCDC,2019-06-19,23.2,7.4,0.0
CYDN,DAUPHIN ARPT,2019-06-19,25.7,6.9,0.0
CWUT,SHOAL LAKE ARPT,2019-06-19,22.7,8.0,0.0
CYBR,BRANDON ARPT,2019-06-19,24.0,7.5,0.0
CWZE,CARBERRY MCDC,2019-06-19,24.5,7.6,0.0
CWEI,MELITA,2019-06-19,24.4,7.5,0.0
CWPO,PILOT MOUND,2019-06-19,24.1,8.4,0.0
CYPG,PORTAGE LA PRAIRIE,2019-06-19,25.5,8.1,0.0
CWSZ,FISHER BRANCH,2019-06-19,27.5,4.5,0.4
CYGM,GIMLI CLIMATE,2019-06-19,25.7,7.9,0.0
CYWG,WINNIPEG/RICHARDSON ARPT,2019-06-19,27.6,7.9,0.0
CWNK,CARMAN U OF M CS,2019-06-19,25.2,6.9,0.0
CXDW,DEERWOOD RCS,2019-06-19,24.5,10.3,0.0
CXMD,MORDEN CDA CS,2019-06-19,25.2,7.6,0.0
CWGN,GRETNA,2019-06-19,,,
CWEX,EMERSON,2019-06-19,25.6,9.1,0.0
CWEA,PINAWA,2019-06-19,26.7,5.5,
CWSU,SPRAGUE,2019-06-19,24.8,9.1,0.0
CWOO,MCCREARY,2019-06-19,25.7,7.3,0.0
CWWP,WASAGAMING,2019-06-19,22.4,4.1,0.0
CPOY,CYPRESS RIVER,2019-06-19,24.7,7.4,0.0
CPTG,KLEEFELD,2019-06-19,26.2,7.8,0.0
