Station Name (b'unitless'),TC ID (b'unitless'),Max Temperature (b'Celsius'),Min Temperature (b'Celsius'),Rain Amount (b'mm'),Snow Amount (b'cm'),Total Precipitation (b'mm'),record_high_temperature (b'Celsius'),record_low_temperature (b'Celsius'),record_snow_amount (b'cm'),wind_direction (b'code'),latitude (b'degree'),longitude (b'degree'),wind_gust_speed (b'km/h'),record_rain_amount (b'mm'),province (b'unitless'),creation_date_utc (b'unitless'),observation_date_utc (b'unitless'),license (b'unitless'),language (b'unitless'),hot_spot_location_canada (b'unitless'),cold_spot_location_canada (b'unitless'),hot_spot_location_province (b'unitless'),cold_spot_location_province (b'unitless'),observation_date_local_time (b'unitless'),climate_station_number (b'unitless'),wmo_station_number (b'unitless')
Lynn Lake Airport,YYL,12.9,7.7,,,2.8,,,,WNW,56.863889,-101.076111,52,,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5061645,71078
McCreary,WOO,23.3,10.9,,,0.0,36.1,3.9,0.0,NW,50.711945,-99.530001,37,50.4,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5043158,71149
Melita,WEI,23.3,8.6,,,0.0,33.1,-0.5,0.0,NNW,49.281278,-100.986361,33,1.4,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,501A7AR,71447
Morden AAFC,XMD,23.2,12.9,,,0.6,34.1,2.7,0.0,WNW,49.187639,-98.083944,41,7.0,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5021849,71564
Norway House Airport,YNE,16.7,8.7,,,0.0,26.2,6.3,,WNW,53.958333,-97.844167,48,,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5062040,71410
Oak Point Marine,WOJ,21.1,9.9,,,0.4,30.7,6.6,0.0,NW,50.499457,-98.036675,43,4.2,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,504K0NM,71144
Pilot Mound,WPO,21.6,7.6,,,0.0,35.6,-0.2,0.0,NNE,49.191028,-98.904861,35,66.0,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5022125,71148
Pinawa,WEA,22.0,11.2,,,,31.5,3.0,0.0,WNW,50.177228,-96.064722,35,42.0,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,503B1ER,71448
Portage Southport,WPG,23.2,12.5,,,0.0,32.8,3.7,0.0,NW,49.903139,-98.284139,35,19.2,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5012324,71851
Shoal Lake,WUT,20.4,4.8,,,0.0,32.3,-0.1,0.0,NW,50.454889,-100.6035,41,8.2,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5012654,71150
Sprague,WSU,21.1,8.5,,,11.5,33.5,0.7,0.0,NW,49.023611,-95.598336,31,22.2,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5022759,71449
Swan River,WEQ,21.8,6.3,,,0.0,32.2,2.2,0.0,W,52.114972,-101.232917,46,11.0,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,504K80K,71443
Tadoule Lake Airport,YBQ,10.6,5.1,,,0.6,21.6,3.1,,NNE,58.706111,-98.512222,43,,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5062835,71272
The Pas,PQD,19.4,8.6,,,0.0,31.4,5.7,0.0,NW,53.966667,-101.1,54,0.6,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5052890,71695
The Pas Airport,YQD,19.4,8.4,,,0.0,31.4,3.0,0.0,WNW,53.971389,-101.091111,67,19.1,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5052882,71867
Thompson Airport,YTH,14.2,7.4,,,2.4,31.5,-2.2,0.0,W,55.804722,-97.8625,46,17.2,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5062921,71079
Wasagaming,WWP,20.4,5.1,,,0.0,33.4,-2.0,0.0,W,50.655002,-99.941947,33,33.5,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5013117,71444
Winnipeg,XWG,22.0,9.2,,,3.1,33.1,5.7,0.0,NW,49.916667,-97.249444,44,5.4,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,502S001,71849
Winnipeg - The Forks,XWN,22.1,13.3,,,3.5,32.4,5.7,0.0,WSW,49.888336,-97.129446,35,7.8,,,2019-08-21T13:10:00.000Z,,,,,,,2019-08-21T08:10:00.000 CDT,5023262,71579
